,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific
596,ASK,AVJ,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
597,ASK,AWA,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
598,ASK,AWB,0.0,1.0,0.0,0.0,0.0,1,1.0,0.2,1,0,not specific
599,ASK,AWC,0.0,0.0,0.0,8.0,0.0,1,8.0,8.0,0,1,not specific
600,ASK,CEP,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific
601,ASK,HSN,3.0,3.0,2.0,1.0,0.0,4,9.0,2.25,3,1,not specific
602,ASK,PVN,1.0,0.0,0.0,1.0,0.0,2,2.0,1.0,1,1,not specific
603,ASK,PVQ,0.0,2.0,0.0,2.0,0.0,2,4.0,,1,1,not specific
604,ASK,RIF,0.0,0.0,1.0,0.0,0.0,1,1.0,,1,0,not specific
605,ASK,RMG,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific
606,ASK,SIB,0.0,1.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
607,ASK,SMD,0.0,1.0,0.0,0.0,0.0,1,1.0,0.25,1,0,not specific
608,AUA,ADF,0.0,2.0,1.0,2.0,0.0,3,5.0,2.5,2,1,not specific
609,AUA,AIB,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
610,AUA,AIN,0.0,3.0,2.0,0.0,0.0,2,5.0,5.0,2,0,not specific
611,AUA,AIY,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific
612,AUA,AIZ,0.0,0.0,4.0,0.0,0.0,1,4.0,4.0,1,0,not specific
613,AUA,AUA,0.0,0.0,0.0,3.0,0.0,1,3.0,3.0,0,1,not specific
614,AUA,AVA,11.0,15.0,13.0,0.0,0.0,3,39.0,13.0,3,0,cel_specific
615,AUA,AVD,2.0,0.0,2.0,3.0,0.0,3,7.0,3.5,2,1,not specific
616,AUA,AVE,21.0,20.0,22.0,19.0,0.0,4,82.0,82.0,3,1,not specific
617,AUA,BAG,1.0,0.0,4.0,0.0,0.0,2,5.0,5.0,2,0,not specific
618,AUA,DVA,0.0,3.0,2.0,0.0,0.0,2,5.0,2.5,2,0,not specific
619,AUA,RIA,32.0,38.0,43.0,62.0,8.0,5,183.0,91.5,3,2,core
620,AUA,RIB,43.0,33.0,66.0,57.0,8.0,5,207.0,207.0,3,2,core
621,AUA,RIR,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
622,AUA,SAA,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
623,AUA,URX,3.0,5.0,6.0,7.0,0.0,4,21.0,10.5,3,1,not specific
624,AVA,ADA,0.0,0.0,0.0,0.0,9.0,1,9.0,9.0,0,1,not specific
625,AVA,AVB,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
626,AVA,AVD,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
627,AVA,RIA,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
628,AVA,RIC,0.0,0.0,0.0,0.0,4.0,1,4.0,1.0,0,1,not specific
629,AVA,SAA,0.0,0.0,6.0,10.0,7.0,3,23.0,5.75,1,2,not specific
630,AVA,SMD,0.0,0.0,1.0,0.0,4.0,2,5.0,5.0,1,1,not specific
631,AVB,AIB,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
632,AVB,AVA,0.0,0.0,6.0,0.0,2.0,2,8.0,8.0,1,1,not specific
633,AVB,AVB,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific
634,AVB,AVD,0.0,0.0,1.0,2.0,2.0,3,5.0,1.0,1,2,not specific
635,AVB,AVJ,0.0,0.0,2.0,2.0,0.0,2,4.0,4.0,1,1,not specific
636,AVB,DVA,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific
637,AVB,PVC,0.0,0.0,2.0,0.0,0.0,1,2.0,,1,0,not specific
638,AVB,RIM,0.0,0.0,0.0,0.0,2.0,1,2.0,,0,1,not specific
639,AVB,RIR,0.0,0.0,0.0,0.0,2.0,1,2.0,0.4,0,1,not specific
640,AVB,SDQ,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific
641,AVD,ALA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
