,Unnamed: 0,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros,cyto_id,Cytoscape Bins
1476,1873,SIB,PVP,0.0,0.0,1.0,0.0,3.0,2,4.0,4.0,1,1,not specific,4.0,SIB (pp) PVP,>3-10
1477,1874,SIB,RIC,0.0,0.0,0.0,0.0,5.0,1,5.0,5.0,0,1,not specific,5.0,SIB (pp) RIC,>3-10
1478,1875,SIB,RID,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific,1.0,SIB (pp) RID,1-3
1479,1876,SIB,RMD,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0,1,not specific,1.0,SIB (pp) RMD,1-3
1480,1878,SIB,SIA,0.0,0.0,0.0,0.0,2.0,1,2.0,0.6666666666666666,0,1,not specific,2.0,SIB (pp) SIA,1-3
1481,1879,SIB,SMB,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,SIB (pp) SMB,1-3
1482,1880,SMB,ADA,1.0,4.0,0.0,0.0,0.0,2,5.0,2.5,2,0,not specific,5.0,SMB (pp) ADA,1-3
1483,1881,SMB,ADL,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0,SMB (pp) ADL,1-3
1484,1882,SMB,AIM,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,SMB (pp) AIM,1-3
1485,1883,SMB,AIZ,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0,SMB (pp) AIZ,1-3
1486,1884,SMB,ALN,4.0,5.0,6.0,0.0,0.0,3,15.0,7.5,3,0,cel_specific,15.0,SMB (pp) ALN,>3-10
1487,1885,SMB,AVA,0.0,1.0,1.0,0.0,0.0,2,2.0,1.0,2,0,not specific,2.0,SMB (pp) AVA,1-3
1488,1886,SMB,AVB,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0,SMB (pp) AVB,1-3
1489,1888,SMB,AVH,0.0,0.0,3.0,0.0,0.0,1,3.0,1.0,1,0,not specific,3.0,SMB (pp) AVH,1-3
1490,1889,SMB,AVJ,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,SMB (pp) AVJ,1-3
1491,1890,SMB,CEP,0.0,2.0,8.0,8.0,7.0,4,25.0,25.0,2,2,not specific,25.0,SMB (pp) CEP,>10
1492,1891,SMB,IL1,0.0,0.0,0.0,2.0,0.0,1,2.0,1.0,0,1,not specific,2.0,SMB (pp) IL1,1-3
1493,1893,SMB,PVP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0,SMB (pp) PVP,1-3
1494,1894,SMB,RIA,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,SMB (pp) RIA,1-3
1495,1895,SMB,RIH,0.0,0.0,3.0,0.0,0.0,1,3.0,,1,0,not specific,3.0,SMB (pp) RIH,>10
